route,stop,lat,lon,distance_to_next_stop(km),duration(min)
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,NJ,30.355159,-97.988456,0.92,2.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,RO,30.358672,-97.981292,0.172,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,XU,30.35989,-97.980811,0.637,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,TP,30.357391,-97.980264,0.351,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,GU,30.356658,-97.983595,0.305,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,CA,30.356029,-97.985582,0.606,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,FJ,30.355949,-97.987816,0.386,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,FY,30.354378,-97.990667,0.223,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,JG,30.354698,-97.992099,0.116,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,ID,30.35573,-97.99225,0.227,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,UT,30.35695,-97.991378,0.054,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,ZQ,30.356773,-97.990848,0.041,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,FV,30.356489,-97.991026,0.655,2.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,QU,30.360381,-97.993446,0.091,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,SY,30.361202,-97.993452,0.221,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,HW,30.360841,-97.991877,0.22,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,HD,30.359338,-97.992338,0.274,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,LO,30.358239,-97.989822,0.128,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,CE,30.357624,-97.988726,0.285,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,UN,30.358586,-97.988004,0.412,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,ZG,30.359377,-97.98456,0.121,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,XT,30.360145,-97.985039,0.445,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,MK,30.360675,-97.983281,0.051,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,BR,30.36095,-97.983692,0.079,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,OT,30.361226,-97.984452,0.131,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,YU,30.36089,-97.985527,0.109,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,MM,30.360121,-97.986224,0.071,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,SA,30.359623,-97.986696,1.58,3.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,BW,30.363509,-97.981768,0.256,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,TE,30.364961,-97.98215,0.339,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,XM,30.367471,-97.981851,0.217,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,WM,30.368921,-97.982133,0.454,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,RX,30.365286,-97.981047,0.326,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,EQ,30.36392,-97.979758,0.516,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,IY,30.366662,-97.978937,0.066,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,EJ,30.366129,-97.978646,0.438,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,TY,30.368236,-97.976899,0.09,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,TL,30.367889,-97.977746,0.16,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,XG,30.366778,-97.9778,0.253,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,WZ,30.366837,-97.975565,0.138,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,MY,30.367257,-97.974223,0.31,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,OS,30.368391,-97.971298,0.671,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,ZR,30.369143,-97.967465,0.315,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,FL,30.37173,-97.966849,0.21,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,ST,30.373438,-97.967729,0.083,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,FC,30.374168,-97.96759,0.231,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,PM,30.373359,-97.96885,0.046,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,TD,30.372952,-97.968802,0.237,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,RJ,30.371459,-97.969262,0.051,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,RV,30.371258,-97.969737,0.073,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,JH,30.370975,-97.970423,0.079,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,IM,30.370672,-97.971163,0.291,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,ZD,30.372239,-97.96988,0.434,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,CS,30.371392,-97.972677,0.101,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,SI,30.372015,-97.972405,0.181,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,EU,30.373239,-97.97127,0.676,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,VM,30.378335,-97.970332,0.169,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,DF,30.377727,-97.971429,0.317,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,ZJ,30.379758,-97.969675,0.2,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,SK,30.379338,-97.96878,0.326,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,IG,30.382203,-97.968707,0.96,2.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,EI,30.39008,-97.966561,0.679,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,NB,30.389707,-97.963327,0.254,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,KE,30.390112,-97.96127,0.186,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,WT,30.389484,-97.962433,0.644,2.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,AA,30.384303,-97.964343,0.585,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,OY,30.388249,-97.965151,0.33,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,SJ,30.385351,-97.9654,1.012,2.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,YN,30.384681,-97.968016,0.193,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,GI,30.383382,-97.968866,0.183,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,XS,30.381758,-97.968679,0.454,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,BT,30.380215,-97.970715,0.071,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,QB,30.379677,-97.971099,0.11,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,JX,30.379038,-97.971963,0.073,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,SV,30.378976,-97.972515,0.156,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,HJ,30.379769,-97.973823,0.244,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,RE,30.380276,-97.973574,0.068,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,NM,30.38014,-97.972892,0.302,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,YE,30.381533,-97.972938,0.351,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,WR,30.379594,-97.972084,0.208,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,QN,30.3786,-97.972641,0.192,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,DC,30.37759,-97.974259,0.203,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,PP,30.376489,-97.975579,0.089,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,NQ,30.377199,-97.975577,0.154,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,YA,30.378063,-97.976185,0.287,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,EF,30.378897,-97.977732,0.443,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,AQ,30.380235,-97.974549,0.113,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,DP,30.381046,-97.974799,0.09,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,VY,30.380707,-97.975212,0.413,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,VI,30.382893,-97.974615,0.48,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,OC,30.383378,-97.975544,0.497,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,VB,30.38193,-97.977123,0.633,2.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,DJ,30.379082,-97.979891,0.674,2.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,OZ,30.377379,-97.976601,0.336,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,EL,30.374884,-97.977414,0.142,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,KT,30.374418,-97.978755,0.074,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,XH,30.374688,-97.978088,0.243,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,OD,30.374645,-97.975989,0.058,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,XE,30.374233,-97.976032,0.213,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,SE,30.374851,-97.97397,0.234,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,FO,30.375373,-97.975182,0.174,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,KW,30.376404,-97.97408,0.137,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,GG,30.376466,-97.972956,0.088,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,VR,30.375806,-97.97306,0.035,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,VA,30.375498,-97.973049,0.227,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,IF,30.376603,-97.971908,0.325,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,ZW,30.374287,-97.971799,0.109,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,SZ,30.373428,-97.972346,0.104,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,UR,30.372853,-97.97316,0.068,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,SW,30.372731,-97.973852,0.13,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,RF,30.372084,-97.974884,0.086,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,SG,30.371582,-97.97554,0.202,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,VG,30.372446,-97.976926,0.442,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,EB,30.371246,-97.974396,0.143,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,FR,30.370599,-97.975608,0.296,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,PJ,30.369572,-97.977735,0.131,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,CQ,30.368681,-97.978562,0.116,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,RB,30.368266,-97.979669,38.366,39.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,KL,30.445236,-97.709418,13.015,14.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,EK,30.48919,-97.79448,0.084,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,XQ,30.489446,-97.793651,0.033,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,KJ,30.489226,-97.79368,0.077,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,OZ,30.488815,-97.793095,0.199,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,EO,30.489293,-97.791525,0.092,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,DK,30.489977,-97.791573,0.354,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,HU,30.489348,-97.788406,0.305,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,ZB,30.488575,-97.789359,0.115,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,VL,30.4887,-97.790354,0.155,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,SX,30.487897,-97.79012,0.804,2.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,EI,30.49272,-97.789945,0.671,2.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,HS,30.497041,-97.790987,0.255,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,PR,30.49824,-97.792587,0.548,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,UF,30.497985,-97.787672,0.857,2.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,DD,30.499717,-97.788361,0.155,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,EJ,30.500627,-97.78745,0.132,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,GC,30.501231,-97.788343,0.134,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,NQ,30.501379,-97.789294,0.135,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,TU,30.500485,-97.789662,0.282,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,UQ,30.501497,-97.787238,0.259,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,MM,30.503284,-97.786625,0.301,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,DO,30.501907,-97.788502,0.14,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,SP,30.502209,-97.789519,0.178,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,PJ,30.501404,-97.79086,0.172,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,LG,30.500537,-97.790362,0.188,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,XX,30.499455,-97.789856,0.165,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,NE,30.499176,-97.791322,0.139,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,SL,30.500317,-97.791632,0.038,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,NR,30.500503,-97.791968,0.239,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,PH,30.499556,-97.793592,0.069,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,WV,30.499262,-97.792963,0.104,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,UG,30.499725,-97.79391,0.197,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,ES,30.500966,-97.793548,0.052,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,EB,30.50118,-97.794001,0.056,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,JZ,30.500974,-97.794386,0.27,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,UN,30.499161,-97.795526,0.203,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,VE,30.498417,-97.794547,0.388,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,XA,30.495607,-97.795912,0.039,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,FX,30.495357,-97.796186,0.35,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,KN,30.49538,-97.798044,0.178,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,DF,30.495751,-97.79941,0.079,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,SY,30.495498,-97.800144,0.293,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,OI,30.492943,-97.799464,0.178,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,QK,30.491728,-97.799199,0.038,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,GJ,30.491952,-97.798941,0.366,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,BK,30.493912,-97.799197,0.484,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,PC,30.496218,-97.798056,0.237,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,AV,30.4943,-97.797922,0.1,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,YH,30.493476,-97.797503,0.097,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,RL,30.493819,-97.796593,0.131,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,KM,30.493904,-97.795239,0.261,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,WO,30.494482,-97.792627,0.251,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,KF,30.495346,-97.79408,0.157,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,BR,30.496441,-97.794487,0.378,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,CS,30.495194,-97.791825,0.397,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,DL,30.494957,-97.789417,0.633,2.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,UZ,30.493199,-97.791935,0.077,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,BI,30.493266,-97.792553,0.074,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,HZ,30.493012,-97.79326,0.099,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,EL,30.49271,-97.792675,0.088,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,WU,30.492002,-97.792275,0.208,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,XD,30.491864,-97.791126,0.157,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,NU,30.491166,-97.79227,0.112,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,CT,30.491192,-97.79324,0.444,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,FB,30.491542,-97.796454,0.26,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,BF,30.490277,-97.795238,0.237,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,KY,30.489991,-97.79726,0.137,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,VK,30.49069,-97.79796,0.233,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,UD,30.489362,-97.798973,0.101,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,KW,30.490078,-97.799612,0.251,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,RE,30.491913,-97.800508,0.013,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,LE,30.491838,-97.800601,1.374,2.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,ZV,30.483054,-97.809574,0.013,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,NW,30.483807,-97.808777,0.994,2.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,CZ,30.490298,-97.810403,1.67,3.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,GS,30.480228,-97.805643,0.325,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,EU,30.480597,-97.806866,0.332,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,HV,30.481511,-97.80836,0.332,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,PQ,30.480471,-97.810083,0.089,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,RB,30.479722,-97.809762,0.384,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,YV,30.479187,-97.810601,0.098,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,DN,30.47836,-97.810258,0.17,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,TL,30.47852,-97.808786,0.257,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,QG,30.479885,-97.807664,1.125,3.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,TC,30.477783,-97.808091,1.78,3.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,FF,30.480234,-97.820917,0.315,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,RH,30.479938,-97.822386,1.001,2.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,DA,30.480428,-97.827303,0.552,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,FU,30.479218,-97.82303,1.213,2.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,VQ,30.475001,-97.822108,1.901,4.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,FW,30.472688,-97.824126,0.434,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,LW,30.46906,-97.82334,0.509,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,MO,30.471946,-97.822436,0.087,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,QD,30.47218,-97.821573,0.104,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,IJ,30.472259,-97.820501,0.368,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,LB,30.470947,-97.820523,0.308,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,QN,30.472692,-97.818728,0.279,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,MR,30.474496,-97.817896,0.177,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,PK,30.475577,-97.817394,0.298,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,VT,30.473607,-97.816222,0.193,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,CI,30.474233,-97.815413,0.221,1.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,JF,30.47235,-97.814675,0.205,0.0
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,YQ,30.47061,-97.81396,0.208,1.0
