Name,Centroid Lat - mean - (deg),Centroid Lon - mean - (deg),Centroid Lat - stdev - (deg),Centroid Lon - stdev - (deg),Number of delivery stops,Number of depot stops,Number of packages,Number of delivered packages,Number of rejected packages,Number of failed attempted packages,Avg packages per stop,Rejected packages (%),Delivered packages (%),Failed attempted packages (%),Bbox area - (km^2),Bbox north - (deg),Bbox south - (deg),Bbox east - (deg),Bbox west - (deg),Total Euclidean distance (km),Total Driving distance (km),Total Circuity factor,Avg Euclidean distance per stop (km),Avg Driving distance per stop (km),Avg Circuity factor per stop,Min Circuity factor per stop,Max Circuity factor per stop,Median Circuity factor per stop
RouteID_41d79900-22f1-4eb4-bda9-cffdd9f88043,34.29153379,-118.5146363,0.008620439,0.00748375,178,1,243,241,0,2,1.365168539,0,0.991769547,0.008230453,123.5013477,34.30677,34.23485,-118.500179,-118.58421,52.63913604,74.069,1.40710896,0.294073386,0.413793296,1.329242537,0.983135637,3.837499922,1.178247359
RouteID_8281d6a2-7db3-46ba-aee0-e9f5404ce79e,34.31229388,-118.4914414,0.009444877,0.017462186,138,1,196,195,0,1,1.420289855,0,0.994897959,0.005102041,237.3685547,34.329079,34.23485,-118.460924,-118.58421,51.23739778,80.06,1.562530563,0.368614373,0.575971223,1.613562716,0.119128207,17.46331417,1.32068844
RouteID_c4d52dd0-8c3a-4723-ad85-857b5e8564a3,34.26737676,-118.4922722,0.007319455,0.006080792,160,1,236,236,0,0,1.475,0,1,0,101.0913521,34.281906,34.23485,-118.479098,-118.58421,46.12569242,65.495,1.419924484,0.286494984,0.406801242,1.419143693,0.545636871,4.348841531,1.266164558
RouteID_c50435bb-564b-4afe-bd35-7816123b3afa,34.26180405,-118.4883132,0.006412107,0.008654879,164,1,229,227,0,2,1.396341463,0,0.991266376,0.008733624,92.5428292,34.275662,34.23485,-118.473269,-118.58421,48.01440315,66.986,1.395123038,0.290996383,0.405975758,1.446237445,0.990995878,7.235578603,1.315249341
RouteID_1e59fe32-ef5b-4126-8487-6f519c3ef5fc,34.2602644,-118.48393,0.004352597,0.006769471,134,1,204,201,1,2,1.52238806,0.004901961,0.985294118,0.009803922,81.60805898,34.270792,34.23485,-118.473125,-118.58421,38.2356809,50.583,1.322926618,0.283227266,0.374688889,1.393407453,0.951341932,5.474652741,1.23556151
RouteID_03b1783a-a994-4719-bcca-253709fd8b21,34.04296802,-118.3671572,0.003729824,0.005349487,128,1,245,243,0,2,1.9140625,0,0.991836735,0.008163265,139.3427017,34.049699,33.918699,-118.324843,-118.376718,47.04556065,60.692,1.290068588,0.364694269,0.47048062,1.388498872,0.970866302,4.656026829,1.055234632
RouteID_1364e8b4-de89-475b-9e38-3486ca12934e,34.04048369,-118.3390305,0.003331852,0.005930785,139,1,255,251,0,4,1.834532374,0,0.984313725,0.015686275,62.32488832,34.046365,33.918699,-118.324843,-118.348651,46.81468145,56.059,1.197466228,0.334390582,0.400421429,1.339678135,0.98976945,4.795870057,1.036459649
RouteID_60f08fdc-8dce-4211-a00d-db145f29ce49,34.0479061,-118.3364233,0.00634342,0.007126469,152,1,277,277,0,0,1.822368421,0,1,0,70.26622561,34.058651,33.918699,-118.324667,-118.349154,48.43907042,61.354,1.26662216,0.316595231,0.401006536,1.365482176,0.937786054,11.7489534,1.039817797
RouteID_685d8874-3d43-44d6-916b-e4609357ecef,34.04320766,-118.3304722,0.006860304,0.009882187,121,1,250,246,0,4,2.066115702,0,0.984,0.016,102.534275,34.055614,33.918699,-118.308924,-118.345448,48.7085966,57.685,1.184287867,0.399250792,0.472827869,1.377471069,0.961592897,12.65408386,1.02818174
RouteID_6a9c1f38-804e-4808-a5bf-284ad5fd3997,34.04252047,-118.3540928,0.005259759,0.005060031,139,1,261,260,0,1,1.877697842,0,0.996168582,0.003831418,110.9458735,34.052349,33.918699,-118.324843,-118.365328,51.16257649,63.727,1.245578397,0.365446975,0.455192857,1.392861936,0.968083255,5.982194601,1.006683018
RouteID_78786ffe-763d-4a0a-82f0-ff108e56df6d,34.03052884,-118.3861022,0.005097189,0.00698269,119,1,237,229,0,8,1.991596639,0,0.966244726,0.033755274,190.0342166,34.043121,33.918699,-118.324843,-118.399327,44.61650292,67.222,1.506662235,0.371804191,0.560183333,1.703708761,0.987859622,12.73006311,1.233174558
RouteID_809cdb78-6de0-4611-aa87-c0167a8c6a7e,34.04068929,-118.3613631,0.003185551,0.007827077,156,1,244,242,0,2,1.564102564,0,0.991803279,0.008196721,137.4948721,34.047953,33.918699,-118.324843,-118.376721,52.24617251,65.768,1.258809916,0.332778169,0.418904459,1.329762041,0.985383595,3.731783212,1.007593463
RouteID_e6116172-3f7a-48d1-9d6a-fd7d5c53cfeb,34.04188531,-118.3373889,0.004501114,0.006743111,144,1,242,236,0,6,1.680555556,0,0.975206612,0.024793388,69.83867072,34.054453,33.918699,-118.324251,-118.349341,55.84263301,68.054,1.218674628,0.385121607,0.469337931,1.313201887,0.976931015,4.062178231,1.174545285
RouteID_1de260a1-709e-4983-973d-6ad3b8be1807,34.04240407,-118.3367597,0.005372397,0.006649978,160,1,274,271,0,3,1.7125,0,0.989051095,0.010948905,72.85928336,34.05675,33.918699,-118.323412,-118.349152,51.39698766,62.424,1.214545888,0.319235948,0.387726708,1.410258898,0.989461225,13.37968968,1.084808006
RouteID_029ae9e8-1e14-441b-9db1-595910ce611e,34.05238784,-118.3604027,0.004571096,0.004828073,134,1,241,241,0,0,1.798507463,0,1,0,139.4047814,34.061268,33.918699,-118.324843,-118.372533,45.56777161,57.722,1.26672861,0.337539049,0.42757037,1.381801156,0.947316492,4.604181374,1.009324528
RouteID_3299cac7-b4a7-4ea6-8c0d-3ba4b63eedfd,34.04964654,-118.3352103,0.00503938,0.006051926,155,1,281,280,0,1,1.812903226,0,0.996441281,0.003558719,74.37943819,34.058637,33.918699,-118.323376,-118.349299,48.96672162,61.578,1.257547942,0.313889241,0.394730769,1.350136377,0.986846221,7.010040771,1.00969116
RouteID_3f531cec-49cf-4209-a1a0-3997b5648a5e,34.06702679,-118.3615783,0.001702746,0.00517648,71,1,201,199,0,2,2.830985915,0,0.990049751,0.009950249,151.6637268,34.07004,33.918699,-118.324843,-118.373722,44.15048726,54.476,1.233870867,0.613201212,0.756611111,2.193627178,0.99019544,31.1786336,1.195052412
RouteID_539bdbc0-be18-4c91-83ac-2a50726555c2,34.05980876,-118.3523217,0.004325202,0.002883355,50,1,180,176,0,4,3.6,0,0.977777778,0.022222222,98.35055242,34.067387,33.918699,-118.324843,-118.357105,38.06604772,44.119,1.15901184,0.746393093,0.865078431,1.260446528,0.866058852,3.502476565,1.01627951
RouteID_6c68b8b6-9a3d-4d57-abf0-f2772c915745,34.05819061,-118.3554924,0.003226757,0.003955911,82,1,224,220,0,4,2.731707317,0,0.982142857,0.017857143,116.2718677,34.068277,33.918699,-118.324843,-118.362757,43.10893927,52.603,1.220234153,0.51938481,0.633771084,3.423411738,0.989383557,135.9028335,1.032019285
RouteID_b8551689-1e36-46d5-a873-16c18fa4fcb8,34.05283889,-118.3597238,0.004583133,0.004210751,125,1,238,238,0,0,1.904,0,1,0,132.7112589,34.06177,33.918699,-118.324843,-118.370084,44.60532489,56.506,1.266799427,0.354010515,0.448460317,1.466402442,0.986927603,6.092317421,1.016322509
RouteID_ce73938a-95ee-4f49-8527-4ef96bfc6b97,34.05453323,-118.3459536,0.00225905,0.005296642,120,1,280,277,0,3,2.333333333,0,0.989285714,0.010714286,91.5309179,34.061439,33.918699,-118.324843,-118.356118,43.11700288,50.882,1.1800913,0.356338867,0.420512397,1.300543824,0.868515298,9.963473049,1.006071854
RouteID_e591d351-e929-4e76-afae-36fa6b0134f2,34.05405209,-118.3388696,0.002903809,0.005429319,123,1,241,238,0,3,1.959349593,0,0.987551867,0.012448133,67.82236166,34.062208,33.918699,-118.324843,-118.347893,46.04897913,57.09,1.239766898,0.371362735,0.460403226,1.45874626,0.97103656,13.18510108,1.039252585
RouteID_fff2548c-1069-4340-8e50-08420efe435d,34.067329,-118.3614905,0.00163048,0.005252102,74,1,206,185,0,21,2.783783784,0,0.898058252,0.101941748,151.391069,34.070667,33.918699,-118.324843,-118.373433,42.86451116,53.395,1.245669169,0.571526815,0.711933333,3.802950339,0.990730046,160.3660292,1.197901536
RouteID_0b8ce670-78c2-42ab-8a93-0749754c8582,33.91890989,-117.9840875,0.003923656,0.009136285,168,1,251,246,0,5,1.494047619,0,0.980079681,0.019920319,409.2162411,33.965477,33.90819,-117.653303,-118.00148,84.89367966,117.888,1.388654614,0.502329465,0.69756213,1.506862688,0.764958725,9.057191896,1.280302264
RouteID_3a02237f-90ef-4a9e-9a98-4bdbf34d39e4,33.92221788,-117.985151,0.004796843,0.009780919,174,1,233,229,0,4,1.33908046,0,0.982832618,0.017167382,401.4749527,33.965477,33.909264,-117.653303,-118.001422,89.73200465,123.713,1.378694263,0.512754312,0.706931429,1.792665771,0.989652861,22.33042769,1.316904391
RouteID_899a31e9-6135-4caa-9b1b-ccf99249752e,33.91799516,-117.9845009,0.004110349,0.008219443,175,1,235,234,0,1,1.342857143,0,0.995744681,0.004255319,417.1538488,33.965477,33.906923,-117.653303,-118.000551,83.83450016,116.139,1.385336583,0.476332387,0.659880682,1.531056344,0,18.0687577,1.249072262
RouteID_02883f75-7507-4664-9a6d-5b963760a087,33.91507781,-118.0159246,0.006646721,0.007387748,151,1,245,240,0,5,1.622516556,0,0.979591837,0.020408163,488.5046191,33.965477,33.902097,-117.653303,-118.028971,90.73286158,131.47,1.448978878,0.596926721,0.864934211,1.480538105,0.988885859,11.93587765,1.248780996
RouteID_13084739-93ee-46c2-9351-7c932f302b1a,33.89849599,-117.9917575,0.009268792,0.008258677,148,1,203,203,0,0,1.371621622,0,1,0,609.2428281,33.965477,33.881529,-117.653303,-118.006987,90.8259041,133.579,1.470714785,0.609569826,0.896503356,1.431959525,0.967225823,6.077634734,1.286925922
RouteID_33dcdca7-603d-4ff7-b9b3-200fdfef531d,33.90324519,-118.0036747,0.008952227,0.00572691,165,1,252,252,0,0,1.527272727,0,1,0,546.3215655,33.965477,33.891743,-117.653303,-118.014415,92.34799837,128.362,1.389981399,0.556313243,0.77326506,1.370451464,0.984623835,3.806766429,1.210422046
RouteID_35117cdf-a2f0-4d16-8b7f-fb3aaa715803,33.89846915,-117.9928773,0.00924157,0.007092851,161,1,215,214,0,1,1.335403727,0,0.995348837,0.004651163,608.9689406,33.965477,33.881529,-117.653303,-118.006828,87.7024257,128.836,1.46901296,0.541372998,0.795283951,1.458652075,0.985039078,5.63174512,1.289395992
RouteID_3c94d1aa-d42d-4ad3-b33b-768122f91a96,33.89540504,-118.0078589,0.00441968,0.004929416,156,1,227,227,0,0,1.455128205,0,1,0,612.7727348,33.965477,33.883806,-117.653303,-118.018959,89.49089302,119.984,1.340739778,0.570005688,0.764229299,1.359654329,0.962760099,5.524574311,1.201558299
RouteID_3f733b9c-3a7a-46a0-ac61-defb77505041,33.9063261,-118.0261969,0.006457001,0.005931346,167,1,249,248,0,1,1.491017964,0,0.995983936,0.004016064,563.170994,33.965477,33.894022,-117.653303,-118.03743,94.96517129,128.263,1.350632008,0.565268877,0.763470238,1.394538009,0.991724519,4.285219873,1.251398132
RouteID_43c5479c-69d5-415c-af7d-ec09bcc4c92d,33.91432903,-118.0172515,0.006577329,0.006140509,142,1,225,223,0,2,1.584507042,0,0.991111111,0.008888889,478.9559088,33.965477,33.903277,-117.653303,-118.028618,92.63561605,128.653,1.388807086,0.647801511,0.899671329,1.476199289,0.994901142,9.847711603,1.271917503
RouteID_4a48cec1-86b0-442b-9edf-02a07bdc07d3,33.89683165,-118.0070217,0.00458732,0.006657925,156,1,220,220,0,0,1.41025641,0,1,0,591.7032639,33.965477,33.886637,-117.653303,-118.019071,87.20089557,117.884,1.35186685,0.555419717,0.750853503,1.396509101,0.987774326,5.597109802,1.229417119
RouteID_4a9ba924-33dd-480b-b10a-243631b9673d,33.91446362,-118.0164463,0.006909083,0.006493266,146,1,221,219,0,2,1.51369863,0,0.990950226,0.009049774,491.5692121,33.965477,33.901603,-117.653303,-118.028403,91.8688859,128.398,1.397622261,0.624958407,0.873455782,1.48085595,0.992187657,6.546086841,1.317079935
RouteID_54ac8d11-46fa-438c-bf08-038c160a03dc,33.90130333,-117.9890642,0.008230218,0.007286381,174,1,256,255,0,1,1.471264368,0,0.99609375,0.00390625,578.3319543,33.965477,33.885253,-117.653303,-118.004635,93.00217083,141.378,1.520158064,0.531440976,0.807874286,1.568730397,0.957940893,9.172610207,1.303325405
RouteID_6151ed34-9a5b-401e-9317-305862a35a23,33.89299883,-118.0020119,0.004930243,0.008891559,149,1,238,238,0,0,1.597315436,0,1,0,616.5915976,33.965477,33.883348,-117.653303,-118.019185,89.3483212,131.996,1.477319308,0.595655475,0.879973333,1.507174697,0.945761471,9.410534781,1.271699305
RouteID_66d4dd35-07cb-4869-bd79-650bca6ef1f7,33.9054544,-118.0263828,0.005961611,0.006049408,164,1,244,244,0,0,1.487804878,0,1,0,563.9773645,33.965477,33.893951,-117.653303,-118.037598,92.81585387,125.281,1.349780181,0.562520326,0.759278788,1.40332306,0,4.994422449,1.213537926
RouteID_6a1bc14c-dec6-4771-beb0-71d5952ff8ae,33.91131034,-118.0276511,0.009807236,0.005253035,181,1,244,242,0,2,1.348066298,0,0.991803279,0.008196721,564.8529595,33.965477,33.89384,-117.653303,-118.037598,97.05392339,131.904,1.359079524,0.533263315,0.724747253,1.380559763,0.153735146,3.668789878,1.227329278
RouteID_73c57618-0f3c-4c40-8056-8a832dc88e05,33.89506448,-118.0080183,0.005183615,0.005120319,145,1,211,210,0,1,1.455172414,0,0.995260664,0.004739336,625.6279582,33.965477,33.882119,-117.653303,-118.019071,92.02449108,122.808,1.334514308,0.630304733,0.841150685,1.353712856,0.971406133,3.586653523,1.225508214
RouteID_887cde0d-2138-4f2d-9924-919748de37d9,33.8929728,-117.9985064,0.005809793,0.006721811,144,1,239,238,0,1,1.659722222,0,0.9958159,0.0041841,618.2815745,33.965477,33.882119,-117.653303,-118.014776,86.12809321,123.454,1.433376677,0.59398685,0.851406897,1.400391024,0.991037926,3.790668812,1.279408158
RouteID_8b18ea27-b7e2-4c6d-9e49-3ee79a6bd3df,33.90073311,-117.9904735,0.008458455,0.007030948,152,1,239,239,0,0,1.572368421,0,1,0,577.1471975,33.965477,33.885263,-117.653303,-118.003959,88.95058005,130.616,1.468410885,0.58137634,0.853699346,1.495186783,0.98894355,4.374031997,1.274577025
RouteID_8bfad394-cc0c-4301-9c16-003785b3c2ee,33.89483397,-118.0077271,0.005411477,0.005245194,143,1,204,202,0,2,1.426573427,0,0.990196078,0.009803922,630.0203781,33.965477,33.881529,-117.653303,-118.019049,88.83956427,125.558,1.413311749,0.616941419,0.871930556,1.548457835,0.793793369,6.71670209,1.281167511
RouteID_8cfcd2bb-4595-4a86-88cd-388b6deba2b9,33.89208397,-118.0037972,0.003686514,0.00726114,171,1,269,268,0,1,1.573099415,0,0.996282528,0.003717472,615.4755665,33.965477,33.883353,-117.653303,-118.018545,89.72179035,121.353,1.352547687,0.521638316,0.705540698,1.442998889,0.989684064,5.431020998,1.205498608
RouteID_8d46bdb6-ea28-4404-a127-3b6fd77a3a74,33.9096675,-118.0189648,0.006170149,0.004918776,157,1,227,223,0,4,1.445859873,0,0.982378855,0.017621145,529.5170135,33.965477,33.896764,-117.653303,-118.028894,91.36894753,129.51,1.417439989,0.578284478,0.819683544,1.38215959,0.981562293,5.736515776,1.192849607
RouteID_8de6b935-071c-44c2-8b74-da0615b97e13,33.89245658,-118.0035615,0.003651353,0.007417686,164,1,227,227,0,0,1.384146341,0,1,0,613.2659274,33.965477,33.88363,-117.653303,-118.018466,89.47377291,120.36,1.345198666,0.54226529,0.729454545,1.427687257,0.988856501,4.966745745,1.264731028
RouteID_9fd7ee84-fba5-4980-b1c5-6af9401a32c6,33.91789434,-118.0100756,0.005097599,0.005879219,143,1,196,196,0,0,1.370629371,0,1,0,431.7639888,33.965477,33.908082,-117.653303,-118.019973,90.49981921,82.194,0.908222809,0.628470967,0.570791667,1.439240028,0.034949671,4.366995148,1.261124948
RouteID_af6a312e-1c08-455d-9dfd-c9cbdee0fa24,33.91192833,-118.0275154,0.009230741,0.005114258,170,1,238,234,0,4,1.4,0,0.983193277,0.016806723,576.9758886,33.965477,33.892271,-117.653303,-118.037429,99.94813669,135.689,1.357594093,0.584492027,0.793502924,3.336621343,0.050953111,343.9889089,1.213829995
RouteID_b7e9b0ce-f2fa-4ae6-96db-5b9bbb2c301a,33.9137259,-117.9777197,0.008291441,0.013855487,178,1,249,246,0,3,1.398876404,0,0.987951807,0.012048193,498.1203768,33.965477,33.895729,-117.653303,-118.001379,89.17434861,123.16,1.381114658,0.498180718,0.688044693,1.465882332,0.343934983,4.861856406,1.283182483
RouteID_c08fcc23-2bb8-42bb-98ee-4641e514088f,33.90163192,-117.9895899,0.008829931,0.007362762,143,1,214,214,0,0,1.496503497,0,1,0,581.231329,33.965477,33.884851,-117.653303,-118.004635,87.25105445,132.689,1.520772452,0.6059101,0.921451389,1.532353965,0.982443062,7.351870739,1.297540169
RouteID_c69ea340-7174-4356-84b0-e924d9d6c890,33.90774723,-118.0034669,0.009675134,0.005069601,141,1,223,222,0,1,1.581560284,0,0.995515695,0.004484305,542.5150116,33.965477,33.892218,-117.653303,-118.014225,91.91370866,130.731,1.422323198,0.647279638,0.920640845,1.542010695,0.877799038,5.753927103,1.292994505
RouteID_c8bddb70-6705-4941-a07e-925299111227,33.91046392,-118.0177734,0.008500181,0.004637339,165,1,220,220,0,0,1.333333333,0,1,0,545.955811,33.965477,33.89458,-117.653303,-118.02862,94.73373469,136.925,1.445366853,0.570685149,0.824849398,1.524121906,0.985152023,5.857603117,1.309773146
RouteID_cca8d2e4-46dd-4f85-bb4d-8222e2cd48a6,33.90500372,-118.0256067,0.006035045,0.005601895,148,1,213,212,0,1,1.439189189,0,0.995305164,0.004694836,559.5597731,33.965477,33.89448,-117.653303,-118.03743,92.28033307,124.824,1.352660918,0.619331094,0.837744966,1.405369647,0.988066132,4.884312729,1.257592898
RouteID_cd69750e-42f3-450c-a0b1-448219c3a34e,33.89628909,-118.0061707,0.006434639,0.006259323,155,1,228,225,0,3,1.470967742,0,0.986842105,0.013157895,625.6279582,33.965477,33.882119,-117.653303,-118.019071,92.92394368,135.442,1.457557596,0.595666306,0.868217949,1.515702072,0.965461162,7.151637303,1.3122597
RouteID_cde9bf43-2323-4be8-b178-d128b1fac77d,33.89888823,-117.9925474,0.009134458,0.008693619,161,1,242,242,0,0,1.50310559,0,1,0,597.3632178,33.965477,33.883584,-117.653303,-118.008797,90.52919788,132.98,1.46891835,0.558822209,0.820864198,1.448005832,0.992687639,4.203568777,1.291442492
RouteID_ce352b9d-41a7-4510-83e1-db83de2706fe,33.9172931,-118.0125043,0.005908036,0.00570729,147,1,220,219,0,1,1.496598639,0,0.995454545,0.004545455,480.6673012,33.965477,33.902325,-117.653303,-118.024279,89.61843016,123.605,1.379236389,0.605529934,0.835168919,1.431285273,0.631212626,10.04572178,1.202435788
RouteID_d896ed72-28ef-4132-a815-d6e45a5c349f,33.91407687,-118.0063225,0.009009768,0.006605768,151,1,216,213,0,3,1.430463576,0,0.986111111,0.013888889,499.487802,33.965477,33.899097,-117.653303,-118.020051,92.0709369,128.623,1.396998926,0.605729848,0.846203947,1.466199696,0.985002137,8.437354112,1.285989277
RouteID_e181241a-5b91-4181-9fb9-5d38ca124708,33.90448224,-117.9847322,0.006582688,0.004127017,152,1,242,242,0,0,1.592105263,0,1,0,543.3451592,33.965477,33.88796,-117.653303,-117.994913,87.37863199,119.762,1.370609693,0.57110217,0.78275817,1.473068365,0.824393732,4.416212743,1.30374137
RouteID_e3493357-edb0-4430-b22e-6190806c27e6,33.89162945,-118.0032343,0.003790068,0.008005308,157,1,256,256,0,0,1.630573248,0,1,0,622.4787932,33.965477,33.882486,-117.653303,-118.01884,88.79665726,129.379,1.457025568,0.56200416,0.81885443,1.377216995,0.988146803,5.063528564,1.256719345
RouteID_e6c5c204-e654-48fa-b7bd-4a911794c14a,33.90011457,-117.9909704,0.009228,0.007107006,147,1,218,218,0,0,1.482993197,0,1,0,605.1913608,33.965477,33.881529,-117.653303,-118.004635,88.37761496,130.263,1.473936585,0.597146047,0.880155405,1.476975038,0.275665394,4.057091961,1.316739951
RouteID_ee6e7947-0cd7-4dbc-bfa8-76e5a02c7b35,33.90804175,-118.0041489,0.010175339,0.005113183,157,1,218,218,0,0,1.388535032,0,1,0,535.8041022,33.965477,33.89311,-117.653303,-118.014156,92.34053418,133.827,1.449276866,0.584433761,0.847006329,1.472096014,0.981035445,6.385548802,1.270063103
RouteID_f3beffd4-410d-4fa0-8510-0d58366a0068,33.89566562,-118.0074019,0.004960178,0.005591545,146,1,202,200,0,2,1.383561644,0,0.99009901,0.00990099,612.5267571,33.965477,33.883841,-117.653303,-118.018969,88.03714223,121.308,1.377918421,0.598892124,0.82522449,1.446699753,0.984991207,5.107596924,1.2414341
RouteID_fa5f77ea-c423-4f0c-8c44-5dd6e042216c,33.91521551,-118.015719,0.006662151,0.006564603,152,1,215,213,0,2,1.414473684,0,0.990697674,0.009302326,477.3145083,33.965477,33.903396,-117.653303,-118.028049,93.38810302,128.879,1.380036598,0.610379758,0.842346405,1.404865292,0.903957284,5.12030625,1.257232777
RouteID_fb92a892-8d66-442e-bd95-e82d95900397,33.90826987,-118.0262615,0.008623981,0.005736701,162,1,238,237,0,1,1.469135802,0,0.995798319,0.004201681,573.2639842,33.965477,33.892734,-117.653303,-118.037388,97.51590996,133.346,1.367428146,0.598257116,0.81807362,1.348610313,0.983245806,3.97607317,1.232223096
RouteID_fc079256-f052-4eea-8286-53b6c4edde7d,33.91714578,-117.9821115,0.004705089,0.010539155,167,1,248,246,0,2,1.48502994,0,0.991935484,0.008064516,418.0072895,33.965477,33.90695,-117.653303,-118.001422,84.86376841,119.295,1.405723576,0.505141479,0.710089286,1.571450054,0.91159886,11.38863648,1.278221947
RouteID_0590605b-45b8-48ce-9f4d-9b303bd8a8ea,34.1378952,-117.8772872,0.004725338,0.005049586,126,1,255,254,0,1,2.023809524,0,0.996078431,0.003921569,891.0583206,34.149836,33.965477,-117.653303,-117.889222,77.48472494,98.423,1.270224552,0.610115944,0.774984252,1.392986404,0.722009091,3.373767275,1.218696472
RouteID_0c2c04fa-8052-4195-85b7-1b648d3832bd,34.14266427,-117.8450065,0.006374168,0.006499437,148,1,237,237,0,0,1.601351351,0,1,0,806.8307031,34.157012,33.965477,-117.653303,-117.858927,79.26928428,102.184,1.289074336,0.532008619,0.685798658,1.539821415,0.993969697,5.718322193,1.298367758
RouteID_2cf6ae7c-4fff-4582-a6b9-be83e652e506,34.13909637,-117.8626667,0.006279893,0.009375714,145,1,229,227,0,2,1.579310345,0,0.991266376,0.008733624,863.6452122,34.15223,33.965477,-117.653303,-117.879036,79.49626249,109.686,1.37976298,0.544494949,0.751273973,1.670748684,0.991361954,21.58724955,1.270886211
RouteID_2d0fbc6f-c0b7-4bb1-ae6e-27242292b446,34.13721908,-117.8761877,0.004699993,0.005812685,143,1,297,293,0,4,2.076923077,0,0.986531987,0.013468013,879.2440043,34.147244,33.965477,-117.653303,-117.88941,77.50761849,99.866,1.288466888,0.538247351,0.693513889,1.512079981,0,8.608985844,1.206743236
RouteID_36b9486e-aed8-4b0e-927a-304a83506d5f,34.13871601,-117.839549,0.010219535,0.008822348,147,1,210,210,0,0,1.428571429,0,1,0,809.6696381,34.155603,33.965477,-117.653303,-117.861178,78.67849357,103.51,1.315607294,0.531611443,0.699391892,1.621860405,0.984170694,14.6812674,1.322785651
